City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,longyearbyen,78.2186,15.6401,21.04,73,40,12.66,SJ,1677456020
228,broome,42.2506,-75.833,34.68,68,86,7.0,US,1677456020
229,nakamura,32.9833,132.9333,46.99,49,0,0.74,JP,1677456020
230,la cruz,23.9167,-106.9,72.34,61,100,14.76,MX,1677456021
231,victoria,22.2855,114.1577,61.25,65,8,8.99,HK,1677456021
232,liverpool,53.4106,-2.9779,41.54,80,100,5.75,GB,1677455740
233,dubbo,-32.25,148.6167,84.33,34,37,8.05,AU,1677456022
234,noumea,-22.2763,166.4572,82.99,99,79,13.49,NC,1677456022
235,tucuman,-26.8241,-65.2226,75.2,69,0,10.36,AR,1677455755
236,rocha,-34.4833,-54.3333,60.75,66,0,5.23,UY,1677456023
237,baruun-urt,46.6806,113.2792,19.33,67,20,5.44,MN,1677456024
238,the valley,18.217,-63.0578,76.86,78,20,4.61,AI,1677456024
239,saint-louis,16.3333,-15.0,80.24,32,72,11.34,SN,1677456025
240,joensuu,62.6012,29.7632,3.69,85,0,4.61,FI,1677456025
241,kuandian,40.7286,124.7847,30.81,44,0,3.56,CN,1677456026
242,banda aceh,5.5577,95.3222,77.14,80,61,12.46,ID,1677456027
243,vestmannaeyjar,63.4427,-20.2734,45.81,83,100,24.05,IS,1677456027
244,constitucion,-35.3333,-72.4167,61.5,64,14,14.72,CL,1677456028
245,turbat,26.0023,63.044,71.15,54,1,2.17,PK,1677456028
246,kangaatsiaq,68.3065,-53.4641,-8.05,99,59,7.61,GL,1677456029
247,eldama ravine,0.0516,35.7308,55.18,80,75,1.72,KE,1677456029
248,teya,60.3778,92.6267,8.11,95,100,5.21,RU,1677456030
249,poum,-20.2333,164.0167,80.26,78,75,10.2,NC,1677456031
250,akdepe,42.0551,59.3788,28.49,52,27,8.57,TM,1677456032
251,iqaluit,63.7506,-68.5145,-29.31,73,20,2.3,CA,1677456032
252,esso,55.9333,158.7,3.87,89,60,1.99,RU,1677456033
253,yingkou,40.6648,122.2283,36.99,40,0,15.93,CN,1677456027
254,chimbote,-9.0853,-78.5783,73.87,80,100,6.31,PE,1677455980
255,rangapara,26.8167,92.65,61.75,53,3,4.05,IN,1677456035
256,selishche,56.8879,33.2691,19.36,93,100,9.19,RU,1677456035
257,faanui,-16.4833,-151.75,82.96,68,16,10.76,PF,1677456036
258,kloulklubed,7.0419,134.2556,81.93,70,100,19.93,PW,1677456037
259,cagliari,39.245,9.0912,44.91,83,20,2.3,IT,1677456037
260,chauk,20.8833,94.8167,72.86,37,0,4.92,MM,1677456037
261,ostrovnoy,68.0531,39.5131,6.78,97,89,8.37,RU,1677456038
262,sao domingos,-13.3983,-46.3183,76.01,63,40,3.56,BR,1677456039
263,magan,39.9683,-3.931,39.72,54,0,12.08,ES,1677456039
264,dayong,25.0209,118.2898,46.06,62,1,3.58,CN,1677456039
265,zurrieq,35.8311,14.4742,58.51,77,0,13.8,MT,1677456040
266,warrnambool,-38.3833,142.4833,61.25,75,97,12.3,AU,1677456040
267,santa maria,-29.6842,-53.8069,76.3,78,0,5.75,BR,1677456041
268,bosansko grahovo,44.1794,16.3639,27.64,96,100,6.93,BA,1677456041
269,eichstatt,48.8833,11.1833,27.9,80,40,5.75,DE,1677456041
270,smirnykh,49.75,142.8333,13.71,78,100,1.97,RU,1677456042
271,sheridan,44.8333,-106.9173,43.3,93,94,2.15,US,1677456042
272,quesnel,52.9999,-122.5029,27.1,86,75,2.3,CA,1677456032
273,alice springs,-23.7,133.8833,83.75,42,66,5.75,AU,1677456043
274,cabedelo,-6.9811,-34.8339,81.27,77,3,11.05,BR,1677456043
275,isangel,-19.55,169.2667,85.41,75,14,15.17,VU,1677456043
276,puro,12.4841,123.3827,78.58,81,75,19.19,PH,1677456044
277,zyryanka,65.75,150.85,-19.79,87,100,4.99,RU,1677456044
278,buchanan,5.8808,-10.0467,78.78,89,96,6.55,LR,1677456044
279,verkhnyaya inta,65.9811,60.3094,-3.93,90,7,8.48,RU,1677456044
280,luanda,-8.8368,13.2343,82.4,83,75,5.75,AO,1677456037
281,quatre cocos,-20.2078,57.7625,75.09,81,9,4.23,MU,1677456045
282,alappuzha,9.49,76.3264,72.93,73,75,6.38,IN,1677456045
283,egvekinot,66.3167,-179.1667,-6.9,96,87,2.91,RU,1677456045
284,chunoyar,57.4467,97.3217,10.4,95,100,6.62,RU,1677456046
285,peniche,39.3558,-9.3811,53.56,89,0,12.97,PT,1677456046
286,knin,44.0439,16.2,39.13,94,100,9.4,HR,1677456046
287,basavana bagevadi,16.5833,75.9667,70.48,44,0,9.6,IN,1677456047
288,sirari,-1.2333,34.4333,66.9,59,100,0.51,TZ,1677456047
289,mafinga,-7.25,35.0667,65.21,95,90,2.46,TZ,1677456048
290,port-gentil,-0.7193,8.7815,76.96,100,40,5.75,GA,1677456048
291,srednekolymsk,67.45,153.6833,-26.39,96,32,5.06,RU,1677456048
292,sioux lookout,50.1001,-91.917,14.07,44,75,5.75,CA,1677456005
293,mayo,38.8876,-76.5119,52.5,74,0,9.22,US,1677456048
294,paralimni,35.0375,33.9833,57.15,77,4,11.99,CY,1677456049
295,shanghai,31.2222,121.4581,41.94,57,0,4.0,CN,1677456049
296,mizan teferi,6.9833,35.5833,65.52,67,54,3.89,ET,1677456050
297,okhotsk,59.3833,143.3,-0.31,94,100,7.9,RU,1677456050
298,ust-kut,56.7938,105.7672,10.24,95,100,5.84,RU,1677456050
299,mount gambier,-37.8333,140.7667,62.37,70,99,7.45,AU,1677456051
300,funchal,32.6333,-16.9,63.72,84,20,4.0,PT,1677456052
301,ust-kuyga,70.0167,135.6,-27.9,94,98,3.8,RU,1677456052
302,nizhniy odes,63.6445,54.856,12.15,91,98,10.54,RU,1677456053
303,novoagansk,61.9449,76.6625,-12.33,100,98,4.36,RU,1677456053
304,thinadhoo,0.5333,72.9333,81.37,78,78,10.07,MV,1677456053
305,sur,22.5667,59.5289,74.62,54,0,5.28,OM,1677456054
306,kavaratti,10.5669,72.642,80.38,72,21,4.43,IN,1677456054
307,cam ranh,11.9214,109.1591,73.36,78,40,19.57,VN,1677456055
308,dzilam gonzalez,21.2833,-88.9333,81.39,47,0,8.01,MX,1677456055
309,shimoda,34.6667,138.95,49.1,56,47,6.82,JP,1677455841
310,tambacounda,13.7539,-13.7586,84.7,16,3,9.04,SN,1677456056
311,ovsyanka,55.9575,92.5519,11.37,93,100,8.7,RU,1677456056
312,mount isa,-20.7333,139.5,78.57,65,40,12.66,AU,1677456049
313,oranjemund,-28.55,16.4333,59.97,96,3,6.06,NA,1677456056
314,roberval,48.5168,-72.2324,13.95,85,100,8.05,CA,1677456057
315,mackay,-21.15,149.2,82.69,79,100,14.97,AU,1677456057
316,lagoa,39.05,-27.9833,55.2,62,22,36.06,PT,1677456058
317,aswan,24.0934,32.907,63.7,29,0,3.44,EG,1677456058
318,fort morgan,40.2503,-103.8,41.65,81,0,10.36,US,1677456058
319,namibe,-15.1961,12.1522,73.62,83,97,5.61,AO,1677456059
320,holme,56.1138,10.1725,32.18,83,42,5.28,DK,1677456059
321,key west,24.5557,-81.7826,79.0,65,2,5.01,US,1677456060
322,kaliua,-5.0606,31.7936,65.07,97,100,4.07,TZ,1677456060
323,dubrovnik,42.6481,18.0922,53.24,87,40,12.66,HR,1677456060
324,khorinsk,52.1657,109.7726,12.38,83,98,8.77,RU,1677456061
325,kenora,49.8167,-94.4337,20.37,45,40,9.22,CA,1677456032
326,ciudad bolivar,8.1222,-63.5497,83.89,50,57,14.94,VE,1677456019
327,nouadhibou,20.931,-17.0347,64.38,68,98,14.97,MR,1677456061
328,college,64.8569,-147.8028,1.58,73,20,5.75,US,1677456002
329,waw,7.7029,27.9953,82.11,26,64,0.83,SS,1677456062
330,saint-joseph,-21.3667,55.6167,73.78,82,7,3.8,RE,1677456062
331,comodoro rivadavia,-45.8667,-67.5,69.66,30,0,24.16,AR,1677456063
332,vao,-22.6667,167.4833,76.05,77,89,13.6,NC,1677456064
333,adrar,20.5022,-10.0711,64.18,25,94,10.31,MR,1677456064
334,anloga,5.7947,0.8973,81.99,87,44,13.38,GH,1677456065
335,kapit,2.0167,112.9333,74.77,99,97,0.16,MY,1677456066
336,lososina,48.9975,140.3106,20.93,73,98,5.06,RU,1677456066
337,bonavista,48.6499,-53.1147,8.87,76,100,26.31,CA,1677456066
338,kalmunai,7.4167,81.8167,74.17,81,80,6.58,LK,1677456067
339,karasjok,69.4719,25.5112,25.65,91,100,9.71,NO,1677456067
340,nuuk,64.1835,-51.7216,11.88,72,100,24.0,GL,1677456068
341,ballina,-28.8667,153.5667,81.79,68,78,8.08,AU,1677456068
342,inhambane,-23.865,35.3833,74.14,95,100,18.28,MZ,1677456069
343,codrington,-38.2667,141.9667,62.2,72,99,12.01,AU,1677456069
344,enshi,30.3,109.4833,42.89,81,0,0.38,CN,1677456070
345,chake chake,-5.2459,39.7666,77.22,82,99,7.85,TZ,1677456070
346,jardim,-21.4803,-56.1381,72.81,96,100,5.7,BR,1677456071
347,ushtobe,45.2514,77.9838,11.95,90,6,11.36,KZ,1677456071
348,kalmar,56.6616,16.3616,31.96,90,52,7.0,SE,1677456071
349,lorengau,-2.0226,147.2712,79.57,84,100,5.46,PG,1677456072
350,deputatskiy,69.3,139.9,-16.26,97,100,3.69,RU,1677456072
351,palmer,42.1584,-72.3287,36.14,76,100,6.91,US,1677456073
352,aklavik,68.2191,-135.0107,-2.13,93,100,9.48,CA,1677456073
353,jibuti,11.5,42.5,69.66,84,39,11.34,DJ,1677456073
354,henties bay,-22.116,14.2845,63.32,86,59,3.0,NA,1677456074
355,imeni poliny osipenko,52.4201,136.4853,10.4,91,100,3.2,RU,1677456075
356,ancud,-41.8697,-73.8203,54.27,84,19,4.7,CL,1677456075
357,fortuna,40.5982,-124.1573,49.93,64,0,9.22,US,1677456076
358,cannes,43.55,7.0167,46.4,81,100,4.61,FR,1677456076
359,santa vitoria do palmar,-33.5189,-53.3681,65.97,59,0,10.2,BR,1677456076
360,seydi,39.4816,62.9137,40.82,61,5,8.75,TM,1677456077
361,lundazi,-12.2929,33.1782,64.81,93,100,3.2,ZM,1677456077
362,moncton,46.1159,-64.8019,17.06,48,75,8.05,CA,1677455809
363,los llanos de aridane,28.6585,-17.9182,58.75,87,20,5.75,ES,1677456078
364,zirovnice,49.2532,15.1882,28.11,91,49,5.99,CZ,1677456078
